SIL,18.09.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,15.09.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,14.09.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,13.09.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,12.09.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,11.09.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,07.09.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,06.09.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,05.09.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,04.09.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,01.09.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,31.08.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,30.08.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,29.08.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,25.08.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,24.08.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,23.08.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,22.08.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,21.08.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,18.08.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,17.08.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,16.08.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,15.08.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,14.08.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,11.08.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,10.08.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,09.08.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,08.08.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,07.08.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,04.08.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,03.08.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,01.08.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,31.07.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,28.07.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,27.07.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,26.07.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,25.07.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,24.07.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,21.07.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,20.07.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,19.07.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,18.07.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,17.07.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,14.07.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,13.07.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
SIL,12.07.2017,"70,00",,,"70,00","0,00",0.0,"0,00","0,00"
